     0,      0,      0
     0,      0,      0
     0,      0,      0
  6530,  10000,    913
  5455,  10000,    913
  5757,  10000,    913
  6478,  10000,    913
  6929,  10000,    913
  7304,  10000,    913
  6862,  10000,    913
  7241,  10000,    913
  7580,  10000,    913
  7600,  10000,    913
 17870,  25000,   2284
 19585,  25000,   2284
 33132,  25000,   2284
 40000,  25000,   2284
 27470,  25000,   2284
 22375,  25000,   2284
 20607,  25000,   2284
 20953,  25000,   2284
 23016,  25000,   2284
 25698,  25000,   2284
 26559,  25000,   2284
 27859,  25000,   2284
 17490,  15000,   1370
 14505,  15000,   1370
 12922,  15000,   1370
 11501,  15000,   1370
 11180,  15000,   1370
 11170,  15000,   1370
 11675,  15000,   1370
 11477,  15000,   1370
 11348,  15000,   1370
 26740,  35000,   3198
 40000,  35000,   3198
 40000,  35000,   3198
 38030,  35000,   3198
 40000,  35000,   3198
 40000,  35000,   3198
 40000,  35000,   3198
 35370,  30000,   2741
 31530,  30000,   2741
 31275,  30000,   2741
 31207,  30000,   2741
 29583,  30000,   2741
 30031,  30000,   2741
 30495,  30000,   2741
 31207,  30000,   2741
 32073,  30000,   2741
 31216,  30000,   2741
 30428,  30000,   2741
 21880,  20000,   1827
 20750,  20000,   1827
 20965,  20000,   1827
 19872,  20000,   1827
 19536,  20000,   1827
 20058,  20000,   1827
 21429,  20000,   1827
 20614,  20000,   1827
 21017,  20000,   1827
 20138,  20000,   1827
 19219,  20000,   1827
 21729,  20000,   1827
